Date, Close
3/15/24,9.31
3/14/24,9.2
3/13/24,9.63
3/12/24,9.87
3/11/24,9.79
3/8/24,10.81
3/7/24,10.9
3/6/24,9.92
3/5/24,9.37
3/4/24,10.09
3/1/24,10.66
2/29/24,10.36
2/28/24,11.26
2/27/24,11.57
2/26/24,11.24
2/23/24,10.65
2/22/24,10.99
2/21/24,10.63
2/20/24,10.62
2/16/24,10.82
2/15/24,11.01
2/14/24,10.93
2/13/24,10.54
2/12/24,11.62
2/9/24,11.16
2/8/24,10.9
2/7/24,10.41
2/6/24,10.44
2/5/24,9.87
2/2/24,10.27
2/1/24,10.24
1/31/24,10.27
1/30/24,10.69
1/29/24,11.21
1/26/24,11.01
1/25/24,11.28
1/24/24,11.07
1/23/24,11.75
1/22/24,11.72
1/19/24,10.85
1/18/24,10.72
1/17/24,10.85
1/16/24,10.97
1/12/24,11.4
1/11/24,11.56
1/10/24,12.09
1/9/24,12.45
1/8/24,12.64
1/5/24,12
1/4/24,12.28
1/3/24,11.93
1/2/24,12.16
12/29/23,12.39
12/28/23,13.23
12/27/23,13.21
12/26/23,13.52
12/22/23,13.64
12/21/23,13.79
12/20/23,13.39
12/19/23,14.32
12/18/23,14.57
12/15/23,14.93
12/14/23,14.76
12/13/23,13.43
12/12/23,12.76
12/11/23,13.05
12/8/23,13.69
12/7/23,13.2
12/6/23,12.97
12/5/23,13.01
12/4/23,13.76
12/1/23,13.61
11/30/23,12.23
11/29/23,12.48
11/28/23,12.21
11/27/23,12.1
11/24/23,12.36
11/22/23,12.42
11/21/23,12.29
11/20/23,12.85
11/17/23,12.7
11/16/23,12.2
11/15/23,12.99
11/14/23,12.69
11/13/23,11.55
11/10/23,10.66
11/9/23,11.23
11/8/23,11.41
11/7/23,11.47
11/6/23,11.21
11/3/23,11.58
11/2/23,11.14
11/1/23,10.22
10/31/23,9.64
10/30/23,9.5
10/27/23,10.14
10/26/23,9.92
10/25/23,10.4
10/24/23,11.01
10/23/23,12.64
10/20/23,12.59
10/19/23,13.47
10/18/23,13.69
10/17/23,14.38
10/16/23,14.41
10/13/23,14.29
10/12/23,15.21
10/11/23,15.69
10/10/23,16
10/9/23,14.64
10/6/23,15.29
10/5/23,14.69
10/4/23,14.77
10/3/23,13.92
10/2/23,14.81
9/29/23,14.88
9/28/23,15.39
9/27/23,14.24
9/26/23,13.1
9/25/23,13.41
9/22/23,13.28
9/21/23,13.53
9/20/23,14.8
9/19/23,15.78
9/18/23,16.16
9/15/23,17.08
9/14/23,18.03
9/13/23,18.69
9/12/23,19.31
9/11/23,19.68
9/8/23,19.34
9/7/23,17.49
9/6/23,19.58
9/5/23,18.97
9/1/23,17.51
8/31/23,17.19
8/30/23,17.12
8/29/23,16.5
8/28/23,15.27
8/25/23,14.67
8/24/23,14.62
8/23/23,16.1
8/22/23,14.92
8/21/23,14.42
8/18/23,13.42
8/17/23,13.01
8/16/23,13.69
8/15/23,15.56
8/14/23,14.88
8/11/23,15.71
8/10/23,14.19
8/9/23,14.49
8/8/23,15.33
8/7/23,15.58
8/4/23,17.39
8/3/23,18.29
8/2/23,18.33
8/1/23,19.86
7/31/23,19.25
7/28/23,17.93
7/27/23,15.53
7/26/23,16.19
7/25/23,15.22
7/24/23,14.39
7/21/23,14.42
7/20/23,14.92
7/19/23,15.52
7/18/23,15.71
7/17/23,14.9
7/14/23,13.55
7/13/23,14.46
7/12/23,14.72
7/11/23,13.86
7/10/23,14.03
7/7/23,13.28
7/6/23,13.29
7/5/23,14.12
7/3/23,13.5
6/30/23,13.53
6/29/23,13.53
6/28/23,13.35
6/27/23,10.81
6/26/23,10.33
6/23/23,9.37
6/22/23,9.43
6/21/23,9.22
6/20/23,9.31
6/16/23,9.7
6/15/23,9.94
6/14/23,9.94
6/13/23,10.63
6/12/23,10.54
6/9/23,10.55
6/8/23,10.65
6/7/23,9.45
6/6/23,9.81
6/5/23,9.84
6/2/23,9.22
6/1/23,10.72
5/31/23,10.79
5/30/23,10.99
5/26/23,10
5/25/23,9.35
5/24/23,10.24
5/23/23,10.83
5/22/23,10.86
5/19/23,8.88
5/18/23,9.09
5/17/23,8.96
5/16/23,7.99
5/15/23,7.34
5/12/23,6.35
5/11/23,7.02
5/10/23,6.95
5/9/23,6.38
5/8/23,6.15
5/5/23,5.9
5/4/23,5.57
5/3/23,5.41
5/2/23,5.31
5/1/23,5.49
4/28/23,5.51
4/27/23,5.55
4/26/23,5.4
4/25/23,5.51
4/24/23,5.84
4/21/23,6.25
4/20/23,6.1
4/19/23,6.28
4/18/23,6.4
4/17/23,6.55
4/14/23,6.71
4/13/23,6.82
4/12/23,6.59
4/11/23,6.78
4/10/23,6.85
4/6/23,6.81
4/5/23,6.66
4/4/23,7.07
4/3/23,6.15
3/31/23,6.15
3/30/23,5.08
3/29/23,5.13
3/28/23,4.7
3/27/23,5.12
3/24/23,4.88
3/23/23,4.84
3/22/23,4.65
3/21/23,4.87
3/20/23,4.61
3/17/23,4.73
3/16/23,4.8
3/15/23,4.77
3/14/23,4.79
3/13/23,4.71
3/10/23,4.56
3/9/23,4.83
3/8/23,5.06
3/7/23,4.94
3/6/23,4.93
3/3/23,5.03
3/2/23,4.76
3/1/23,4.62
2/28/23,4.74
2/27/23,4.63
2/24/23,4.57
2/23/23,4.78
2/22/23,4.76
2/21/23,4.64
2/17/23,4.88
2/16/23,5.28
2/15/23,5.65
2/14/23,4.99
2/13/23,4.89
2/10/23,4.81
2/9/23,4.69
2/8/23,5.13
2/7/23,5.15
2/6/23,5.41
2/3/23,5.5
2/2/23,5.49
2/1/23,4.76
1/31/23,4.44
1/30/23,4.46
1/27/23,4.49
1/26/23,4.54
1/25/23,4.5
1/24/23,4.44
1/23/23,4.5
1/20/23,4.34
1/19/23,4.02
1/18/23,4.2
1/17/23,4.35
1/13/23,4.41
1/12/23,4.05
1/11/23,3.86
1/10/23,3.81
1/9/23,3.81
1/6/23,3.77
1/5/23,3.64
1/4/23,3.61
1/3/23,3.46
12/30/22,3.45
12/29/22,3.54
12/28/22,3.12
12/27/22,3.1
12/23/22,3.3
12/22/22,3.37
12/21/22,3.69
12/20/22,3.71
12/19/22,3.7
12/16/22,3.86
12/15/22,3.91
12/14/22,4.23
12/13/22,4.32
12/12/22,4.47
12/9/22,4.48
12/8/22,4.62
12/7/22,4.35
12/6/22,4.35
12/5/22,4.65
12/2/22,4.94
12/1/22,4.96
11/30/22,5.16
11/29/22,4.83
11/28/22,4.94
11/25/22,4.91
11/23/22,4.98
11/22/22,4.85
11/21/22,4.8
11/18/22,4.92
11/17/22,4.91
11/16/22,5.25
11/15/22,5.65
11/14/22,5.99
11/11/22,5.83
11/10/22,5.56
11/9/22,4.61
11/8/22,4.96
11/7/22,5.27
11/4/22,5.16
11/3/22,5.16
11/2/22,5.33
11/1/22,5.61
10/31/22,5.89
10/28/22,5.69
10/27/22,5.47
10/26/22,5.53
10/25/22,5.4
10/24/22,5.06
10/21/22,5.13
10/20/22,5.07
10/19/22,5.01
10/18/22,5.08
10/17/22,5.14
10/14/22,4.87
10/13/22,5.18
10/12/22,5.05
10/11/22,4.89
10/10/22,5.07
10/7/22,5.28
10/6/22,5.64
10/5/22,5.71
10/4/22,5.88
10/3/22,5.26
9/30/22,5.07
9/29/22,4.78
9/28/22,5.07
9/27/22,4.84
9/26/22,4.79
9/23/22,4.77
9/22/22,4.97
9/21/22,5.2
9/20/22,5.27
9/19/22,5.39
9/16/22,5.49
9/15/22,5.76
9/14/22,5.79
9/13/22,5.59
9/12/22,5.92
9/9/22,5.39
9/8/22,5.24
9/7/22,5.3
9/6/22,5.63
9/2/22,5.7
9/1/22,5.79
8/31/22,5.94
8/30/22,5.88
8/29/22,6.19
8/26/22,6.19
8/25/22,6.84
8/24/22,6.58
8/23/22,6.43
8/22/22,6.42
8/19/22,6.62
8/18/22,7.63
8/17/22,7.86
8/16/22,8.38
8/15/22,6.36
8/12/22,6.21
8/11/22,6.07
8/10/22,6.33
8/9/22,5.72
8/8/22,6.13
8/5/22,6.42
8/4/22,6.2
8/3/22,5.9
8/2/22,5.51
8/1/22,5.25
7/29/22,5.4
7/28/22,5.29
7/27/22,5.1
7/26/22,4.72
7/25/22,4.94
7/22/22,4.88
7/21/22,5.26
7/20/22,5.12
7/19/22,4.73
7/18/22,4.59
7/15/22,4.53
7/14/22,4.39
7/13/22,4.43
7/12/22,4.47
7/11/22,4.61
7/8/22,5.07
7/7/22,5.05
7/6/22,4.61
7/5/22,4.55
7/1/22,4.39
6/30/22,4.38
6/29/22,4.46
6/28/22,4.69
6/27/22,4.83
6/24/22,5.11
6/23/22,5.12
6/22/22,4.99
6/21/22,5.14
6/17/22,5.04
6/16/22,4.76
6/15/22,5
6/14/22,4.61
6/13/22,4.52
6/10/22,4.91
6/9/22,5.32
6/8/22,5.84
6/7/22,5.52
6/6/22,5.64
6/3/22,5.53
6/2/22,5.8
6/1/22,5.29
5/31/22,5.75
5/27/22,5.93
5/26/22,5.76
5/25/22,5.72
5/24/22,5.39
5/23/22,5.76
5/20/22,5.63
5/19/22,5.83
5/18/22,5.45
5/17/22,5.71
5/16/22,4.86
5/13/22,5.2
5/12/22,4.76
5/11/22,4.34
5/10/22,4.88
5/9/22,5.08
5/6/22,5.92
5/5/22,6.23
5/4/22,7.5
5/3/22,7.15
5/2/22,7.86
4/29/22,7.87
4/28/22,8.31
4/27/22,8.2
4/26/22,8.1
4/25/22,9.14
4/22/22,9.18
4/21/22,9.5
4/20/22,9.8
4/19/22,10.92
4/18/22,10.6
4/14/22,10.66
4/13/22,11.37
4/12/22,10.99
4/11/22,10.79
4/8/22,12.32
4/7/22,12.44
4/6/22,12.3
4/5/22,12.53
4/4/22,13.58
4/1/22,13
3/31/22,12.76
3/30/22,12.37
3/29/22,12.39
3/28/22,13.14
3/25/22,13.18
3/24/22,13.95
3/23/22,14.2
3/22/22,14.81
3/21/22,14.64
3/18/22,14.36
3/17/22,13.83
3/16/22,13.07
3/15/22,12.49
3/14/22,11.41
3/11/22,12.33
3/10/22,12.75
3/9/22,12.5
3/8/22,11.77
3/7/22,11.89
3/4/22,12.39
3/3/22,13.28
3/2/22,14.66
3/1/22,14.5
2/28/22,15.98
2/25/22,15.1
2/24/22,15.6
2/23/22,13.72
2/22/22,14.53
2/18/22,14.68
2/17/22,15.48
2/16/22,15.82
2/15/22,16.58
2/14/22,16.54
2/11/22,16.82
2/10/22,14.76
2/9/22,14.27
2/8/22,12.96
2/7/22,13.19
2/4/22,12.9
2/3/22,11.39
2/2/22,11.49
2/1/22,12.2
1/31/22,11.44
1/28/22,10.09
1/27/22,9.51
1/26/22,10.71
1/25/22,10.44
1/24/22,10.89
1/21/22,10.88
1/20/22,11.72
1/19/22,11.79
1/18/22,12.2
1/14/22,12.93
1/13/22,12.98
1/12/22,14.09
1/11/22,14.69
1/10/22,13.71
1/7/22,14.37
1/6/22,14.84
1/5/22,15.38
1/4/22,16.44
1/3/22,17.47
12/31/21,16.7
12/30/21,17.73
12/29/21,17.7
12/28/21,17.07
12/27/21,18.3
12/23/21,17.86
12/22/21,16.82
12/21/21,16.18
12/20/21,15.28
12/17/21,16.77
12/16/21,16.06
12/15/21,17.84
12/14/21,16.1
12/13/21,16.67
12/10/21,18.57
12/9/21,18.61
12/8/21,20.97
12/7/21,21.53
12/6/21,18.79
12/3/21,18.78
12/2/21,21.45
12/1/21,20.75
11/30/21,23.82
11/29/21,24.08
11/26/21,24.18
11/24/21,25.96
11/23/21,24.96
11/22/21,23.18
11/19/21,28.01
11/18/21,27.96
11/17/21,31
11/16/21,26.38
11/15/21,19.82
11/12/21,20.15
11/11/21,19.25
11/10/21,18.23
11/9/21,22.53
11/8/21,21.35
11/5/21,19.27
11/4/21,16.43
11/3/21,15.35
11/2/21,15
11/1/21,15.66
10/29/21,15.04
10/28/21,13.63
10/27/21,12.28
10/26/21,10.52
10/25/21,10.28
10/22/21,9.66
10/21/21,10.18
10/20/21,10.44
10/19/21,10.91
10/18/21,10.69
10/15/21,10.05
10/14/21,9.82
10/13/21,9.24
10/12/21,8.53
10/11/21,8.44
10/8/21,8.41
10/7/21,7.63
10/6/21,7.25
10/5/21,7.73
10/4/21,7.51
10/1/21,9.2
9/30/21,10.4
9/29/21,10.93
9/28/21,11.07
9/27/21,11.94
9/24/21,11.3
9/23/21,10.01
9/22/21,9.99
9/21/21,10.05
9/20/21,10.01
9/17/21,10.06
9/16/21,10.05
9/15/21,10.01
9/14/21,10
9/13/21,10.02
9/10/21,10
9/9/21,10.07
9/8/21,10
9/7/21,10.01
9/3/21,9.98
9/2/21,9.97
9/1/21,9.97
8/31/21,9.99
8/30/21,9.98
8/27/21,9.98
8/26/21,9.96
8/25/21,9.92
8/24/21,9.98
8/23/21,9.96
8/20/21,9.99
8/19/21,10
8/18/21,9.98
8/17/21,10.01
8/16/21,10
8/13/21,10.02
8/12/21,10.01
8/11/21,10
8/10/21,10
8/9/21,10
8/6/21,9.94
8/5/21,9.98
8/4/21,9.96
8/3/21,9.94
8/2/21,9.93
7/30/21,9.92
7/29/21,9.91
7/28/21,9.93
7/27/21,9.93
7/26/21,9.95
7/23/21,9.95
7/22/21,9.96
7/21/21,9.92
7/20/21,9.95
7/19/21,9.95
7/16/21,10.12
7/15/21,10.11
7/14/21,10.13
7/13/21,10.31
7/12/21,10.46
7/9/21,10.5
7/8/21,10.42
7/7/21,10.44
7/6/21,10.53
7/2/21,10.48
7/1/21,10.7
6/30/21,10.69
6/29/21,10.55
6/28/21,10.49
6/25/21,10.39
6/24/21,10.3
6/23/21,10.11
6/22/21,10.1
6/21/21,10.16
6/18/21,10.29
6/17/21,10.31
6/16/21,10.43
6/15/21,10.45
6/14/21,10.52
6/11/21,10.57
6/10/21,10.55
6/9/21,10.6
6/8/21,10.44
6/7/21,10.24
6/4/21,10.1
6/3/21,10.05
6/2/21,10
6/1/21,9.98
5/28/21,9.98
5/27/21,9.93
5/26/21,10
5/25/21,9.97
5/24/21,10
5/21/21,10
5/20/21,9.94
5/19/21,9.91
5/18/21,9.95
5/17/21,10
5/14/21,10.05
5/13/21,10.08
5/12/21,10.02
5/11/21,10.02
5/10/21,10.14
5/7/21,10.21
5/6/21,10.26
5/5/21,10.4
5/4/21,10.63
5/3/21,10.81
4/30/21,10.78
4/29/21,10.66
4/28/21,10.6
4/27/21,10.5
4/26/21,10.54
4/23/21,10.49
4/22/21,10.39
4/21/21,10.48
4/20/21,10.3
4/19/21,10.25
4/16/21,10.37
4/15/21,10.54
4/14/21,10.59
4/13/21,10.75
4/12/21,10.84
4/9/21,11.03
4/8/21,11
4/7/21,10.69
4/6/21,10.78
4/5/21,10.69
4/1/21,10.57
3/31/21,10.77
3/30/21,10.5
3/29/21,10.73
3/26/21,10.52
3/25/21,10.56
3/24/21,10.52
3/23/21,10.63
3/22/21,10.94
3/19/21,11.05
3/18/21,10.81
3/17/21,11
3/16/21,11.02
3/15/21,11.53
3/12/21,11.51
3/11/21,11.2
3/10/21,11.08
3/9/21,11.31
3/8/21,10.9
3/5/21,12.7
3/4/21,11.97
3/3/21,11.87
3/2/21,12.86
3/1/21,14.6
2/26/21,14.47
2/25/21,13.12
2/24/21,14.44
2/23/21,12.14
2/22/21,12.75
2/19/21,12.71
2/18/21,12.24
2/17/21,11.81
2/16/21,11.7
2/12/21,11.8
2/11/21,11.77
2/10/21,11.88
2/9/21,11.99
2/8/21,11.78
2/5/21,11.76
2/4/21,11.99
2/3/21,12
2/2/21,11.9
2/1/21,11.55
1/29/21,11.35
1/28/21,11.37
1/27/21,11.45
1/26/21,11.91
1/25/21,12.09
1/22/21,12
1/21/21,11.5
1/20/21,11.32
1/19/21,11.32
1/15/21,11.22
1/14/21,11.44
1/13/21,11.2
1/12/21,11.18
1/11/21,11.17